起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
-87.9663,75.9671,2.06252,-1.9193,1.10255,38.8129,2.30137,-45.1881,5.48274,3.11255,-2.44958,1.34853,33.8465,0.721057,1,50.819,0.0690143,1,0,1,0,0.0690143
-87.8619,75.9406,-3.10409,-3.03442,1.10457,38.8669,0.0696732,-32.6989,35.9173,0.167898,-1.75309,1.24646,32.1413,-1.92099,1,21.6794,0.0354399,1,0,1,0,0.0354399
-87.4609,76.5634,-1.36068,1.48518,1.1143,39.124,-0.124497,-40.1312,37.0077,2.76515,2.26059,1.20397,31.269,1.25744,1,8.04968,0.038685,1,0,1,0,0.038685
-87.7842,76.1965,2.13703,-2.00098,1.10685,38.9277,2.14518,-20.4817,20.3614,1.5459,2.00035,1.38241,34.2883,2.73694,1,42.2438,0.0605204,1,0,1,0,0.0605204
-87.0031,77.4352,3.01983,-2.92513,1.12538,39.411,0.338224,-40.417,41.95,-3.07038,1.76815,1.1087,28.9767,1.30223,1,11.3299,0.0374257,1,0,1,0,0.0374257
-87.2719,77.7828,-0.0467413,0.127864,1.12061,39.2883,-0.0811231,-18.1209,32.6225,-1.70831,-0.563671,1.20533,31.2984,1.14464,1,10.0183,0.0446236,1,0,1,0,0.0446236
-87.0374,78.3703,-1.41736,1.47756,1.12615,39.4306,-0.0602027,-16.0643,-3.55423,0.171333,2.13929,1.1652,30.3915,-2.31062,1,36.7368,0.16972,1,0,1,0,0.16972
-87.8485,78.016,0.396234,-0.325113,1.10937,38.9943,-0.721347,-22.4241,34.7643,2.31141,1.90964,1.21783,31.5638,2.06213,1,10.7275,0.0270727,1,0,1,0,0.0270727
-87.6829,79.5498,-2.2869,2.30316,1.11407,39.118,-0.0162628,-32.64,36.2903,2.0153,2.68018,1.23934,32.0016,1.58771,1,57.6082,0.0877226,1,0,1,0,0.0877226
-87.2183,79.1306,1.12067,-1.08874,1.12322,39.3555,-2.20941,-16.7508,28.1718,-0.796111,-1.6643,1.2465,32.1421,-0.868189,1,13.4206,0.0490534,1,0,1,0,0.0490534
-87.271,80.9621,0.986286,-1.02155,1.1221,39.3267,-2.00784,-28.1399,29.3892,1.99724,2.38942,1.35361,33.9168,1.89653,1,14.3066,0.0320567,1,0,1,0,0.0320567
-87.9072,80.4552,-0.822745,0.806435,1.10953,38.9987,0.0163106,-42.7211,28.6002,0.334996,-1.28522,1.32536,33.5084,-1.62021,1,26.023,0.0365847,1,0,1,0,0.0365847
-87.6892,81.1711,-1.1758,1.13353,1.11352,39.1035,0.0422689,-15.6988,-6.70205,-0.973023,-3.06632,1.1127,29.082,-2.0933,1,78.8474,0.161806,1,0,1,0,0.161806
-87.4975,81.2381,-1.70521,1.66022,1.11732,39.2028,0.0449961,-36.7123,33.0164,1.49542,-2.86301,1.2941,33.0065,1.92475,1,15.3068,0.0295212,1,0,1,0,0.0295212
-87.3259,82.1976,-1.13189,1.05164,1.11956,39.2611,0.0802474,-34.7392,34.9889,1.6958,3.10338,1.26268,32.4494,1.48401,1,14.3477,0.0263297,1,0,1,0,0.0263297
-87.3167,82.6276,-2.98345,2.88755,1.11899,39.2461,0.0958943,-21.0968,21.7012,-0.144346,-2.4845,1.38164,34.2791,-2.34015,1,48.9741,0.0326098,1,0,1,0,0.0326098
-87.9193,83.7814,1.67171,-1.80633,1.1042,38.857,2.80515,-38.1659,32.6971,1.09904,-2.38582,1.29334,32.9936,2.79833,1,14.6355,0.0300822,1,0,1,0,0.0300822
-87.1798,83.2186,-1.42595,1.30808,1.12046,39.2842,0.117868,-29.8935,29.11,1.39873,3.09695,1.36721,34.0979,1.78751,1,17.4091,0.0281141,1,0,1,0,0.0281141
-87.7905,84.6247,-0.482323,0.317421,1.10423,38.8579,0.164902,-44.3618,7.50665,-2.25644,2.83948,1.38255,34.2901,-0.58304,1,19.9044,0.0395956,1,0,1,0,0.0395956
-87.6388,84.8523,-0.882892,0.709103,1.10648,38.9179,0.173789,-39.4724,34.4601,2.3641,2.66938,1.25427,32.2914,1.24971,1,8.25862,0.0441323,1,0,1,0,0.0441323
-86.6079,71.4577,1.93433,-1.62368,1.10883,38.9802,2.72517,-17.5821,23.0489,-1.71776,-0.942701,1.31281,33.3132,0.77506,1,105.905,0.129241,1,0,1,0,0.129241
