起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
20.6186,70.5763,-1.73458,0.705883,1.29806,46.0729,1.0287,-46.184,76.1474,0.676021,-0.746798,1.33448,46.645,-1.42282,1,18.9836,1.17431,1,0,1,0,1.17431
45.7752,56.5032,-1.56682,-1.47978,1.34147,46.7465,0.0870406,-18.5324,51.0714,0.62468,1.39302,1.13719,42.7101,-2.0177,1,39.3607,1.15998,1,0,1,0,1.15998
50.1032,64.2389,0.0415834,-2.75239,1.22343,44.6801,-2.79397,-35.9483,64.6429,1.46519,-0.415717,1.41292,47.6326,-1.8809,1,72.0214,1.21255,1,0,1,0,1.21255
14.4484,43.3466,-0.666749,1.30983,1.2746,45.6669,-0.643078,-16.8661,83.7649,1.08306,2.64701,1.34251,46.7615,2.55312,1,71.5449,1.14237,1,0,1,0,1.14237
20.273,74.5398,-2.98733,1.87842,1.22914,44.797,1.10891,-44.4754,85.3313,-1.01237,0.392503,1.30552,46.1958,0.619871,1,17.593,1.08023,1,0,1,0,1.08023
12.0251,53.7103,2.36462,-2.29299,1.30109,46.1232,1.62558,-26.1361,85.0701,1.22783,3.11818,1.43391,47.8397,1.93717,1,15.2935,1.07113,1,0,1,0,1.07113
50.4755,48.2474,-2.09469,-1.36546,1.23424,44.9001,0.729239,-21.5593,64.0764,-1.82183,-2.23269,1.37899,47.2467,-0.410864,1,22.0953,1.16438,1,0,1,0,1.16438
36.3993,30.7944,-2.09688,-2.35705,1.16685,43.4305,-0.260177,-27.3388,62.9566,-1.28095,3.06922,1.40583,47.5571,-1.78827,0,1e-39,240,1,0,1,0,240
51.3635,41.6746,-2.56602,-1.13327,1.16407,43.3648,1.43276,-17.3695,99.8341,0.192788,-2.23408,1.11054,42.0251,-2.42687,1,12.5319,1.11066,1,0,1,0,1.11066
40.1171,58.1216,1.32491,2.11596,1.4375,47.8726,2.84232,-27.3198,58.5462,2.17469,-0.442417,1.32622,46.5215,-2.6171,1,11.565,0.920339,1,0,1,0,0.920339
23.9949,63.2054,-0.0206497,-0.918367,1.44509,47.94,-0.897717,-18.1559,74.0441,-0.0802336,3.1413,1.41403,47.6441,-3.06106,1,53.2386,1.10054,1,0,1,0,1.10054
28.3235,65.0107,-2.30999,0.905132,1.44541,47.9428,1.40486,-32.3926,95.5981,-0.713061,-0.742096,1.24994,45.2085,-0.0290352,1,37.0166,1.12805,1,0,1,0,1.12805
40.3365,46.6666,1.16948,1.29359,1.38863,47.3627,-2.46308,-31.726,55.8462,-0.778928,2.25985,1.2784,45.7346,-1.48093,1,50.0361,1.23146,1,0,1,0,1.23146
45.5974,73.4041,-0.619841,-1.654,1.18473,43.8432,-1.03415,-38.4503,66.4339,2.69081,-1.8986,1.4113,47.6156,1.69378,1,29.3943,1.16174,1,0,1,0,1.16174
12.0146,55.6733,-1.53333,1.49591,1.30152,46.1304,0.0374201,-21.7477,81.3439,-3.0104,0.524194,1.44073,47.9017,2.48621,1,18.1704,1.04234,1,0,1,0,1.04234
14.3756,36.8069,-2.59262,-2.82935,1.18752,43.9061,-0.236726,-17.8742,64.0173,-0.83701,-3.04055,1.33197,46.6079,-2.20354,1,50.0075,1.23481,1,0,1,0,1.23481
41.1917,74.5671,2.43328,1.75955,1.21541,44.5131,2.09035,-42.7582,59.3995,-2.68541,-2.71248,1.26101,45.4182,-0.0270694,1,54.371,1.22763,1,0,1,0,1.22763
