找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
1,40.4216,30.0219,1,0.000476837,1,0.000105143,30.0213,,4.24287,36.1788,30.0033
1,85.9535,30.0819,1,0.00027895,1,8.91685e-05,30.0815,,3.79101,82.1625,30.0021
0,7.4988,30.0003,1,0.000252008,0,9.29832e-05,30,,7.4988,1e-39,30.0171
0,4.1958,30.0003,1,0.000205994,1,6.19888e-05,30,,4.1958,1e-39,30.0033
1,20.7642,30.0215,1,0.000237942,1,8.01086e-05,30.0212,,1.78228,18.9819,30.0029
0,1.78228,30.0003,1,0.000221968,1,0.000106096,30,,1.78228,1e-39,30
0,5.68758,30.0005,1,0.000371933,1,0.000114918,30,,5.68758,1e-39,30.0027
0,5.68758,30.0003,0,0.000195026,0,6.50883e-05,30,,5.68758,1e-39,30
0,5.68758,30.0003,0,0.000213146,1,0.000125885,30,,5.68758,1e-39,30
0,3.3043,30.0003,1,0.000248909,0,5.88894e-05,30,,3.3043,1e-39,30.0014
1,91.6275,30.0467,1,0.000339985,1,0.000104904,30.0462,,2.75413,88.8733,30.0015
0,4.4862,30.0003,1,0.000231981,0,6.31809e-05,30,,4.4862,1e-39,30.0019
0,3.88329,30.0002,1,0.000192881,0,3.50475e-05,30,,3.88329,1e-39,30.0015
0,2.89989,30.0003,1,0.000228882,0,7.9155e-05,30,,2.89989,1e-39,30.0011
0,0.667842,30.0003,1,0.000270128,0,7.29561e-05,30,,0.667842,1e-39,30.0022
1,13.2955,30.0164,1,0.000200033,1,6.60419e-05,30.0162,,4.62987,8.66558,30.0024
0,2.87538,30.0002,0,0.000139952,0,4.50611e-05,30,,2.87538,1e-39,30.0027
1,17.1901,30.0284,1,0.000241041,1,0.000120878,30.0281,,4.48884,12.7013,30.0015
1,12.3664,30.0153,1,0.000261068,1,9.08375e-05,30.015,,4.4637,7.90274,30.0028
1,26.1966,30.0197,1,0.000219107,1,0.000123024,30.0193,,2.3714,23.8252,30.0031
1,32.3964,30.0282,1,0.000283957,1,9.799e-05,30.0279,,6.25664,26.1398,30.0042
1,75.5868,30.0183,1,0.00022912,1,9.10759e-05,30.018,,3.31097,72.2758,30.0023
0,3.55228,30.0003,1,0.000247955,1,9.70364e-05,30,,3.55228,1e-39,30.0032
1,69.9297,30.0279,1,0.000248909,1,9.5129e-05,30.0276,,4.15664,65.773,30.0017
1,48.4241,30.0119,1,0.000216007,1,9.20296e-05,30.0116,,5.9797,42.4444,30.0014
1,7.6815,30.0165,1,0.00022006,1,0.000152826,30.0161,,2.6811,5.0004,30.0011
1,18.9989,30.0517,1,0.000242949,1,9.39369e-05,30.0514,,2.75509,16.2438,30.0022
1,60.1405,30.0313,1,0.000235081,1,0.000123978,30.031,,2.75509,57.3854,30
1,40.3954,30.0246,1,0.000216007,1,6.69956e-05,30.0243,,2.3249,38.0705,30.0026
0,2.3249,30.0003,0,0.000178099,1,0.000116825,30,,2.3249,1e-39,30
0,2.3249,30.0003,0,0.000159025,1,0.000136852,30,,2.3249,1e-39,30
0,2.9342,30.0004,1,0.000257015,1,0.000110149,30,,2.9342,1e-39,30.0017
0,3.14244,30.0003,1,0.00019908,0,5.88894e-05,30,,3.14244,1e-39,30.0024
0,2.61853,30.0003,1,0.000236988,0,6.19888e-05,30,,2.61853,1e-39,30.0016
1,71.6861,30.0205,1,0.000356913,1,0.000132084,30.02,,5.03212,66.654,30.0057
1,69.0776,30.024,1,0.00028801,1,0.000148058,30.0235,,4.99941,64.0782,30.0019
0,4.99941,30.0003,0,0.000157118,1,0.000140905,30,,4.99941,1e-39,30
0,4.99941,30.0002,0,0.000121832,0,4.50611e-05,30,,4.99941,1e-39,30
0,4.99941,30.0002,0,0.000155926,0,6.81877e-05,30,,4.99941,1e-39,30
1,33.0613,30.0166,1,0.000212908,1,0.00012207,30.0162,,2.21349,30.8478,30.0009
1,28.8112,30.026,1,0.000191927,1,0.000105858,30.0257,,4.2497,24.5615,30.0006
1,12.1309,30.0163,1,0.000211954,1,9.29832e-05,30.016,,2.53639,9.59453,30.0029
0,2.53639,30.0003,0,0.000212908,1,0.000132084,30,,2.53639,1e-39,30
0,3.28911,30.0003,1,0.000212908,0,6.10352e-05,30,,3.28911,1e-39,30.0027
1,13.8415,30.0125,1,0.000263214,1,8.29697e-05,30.0121,,3.28911,10.5524,30
0,5.31326,30.0003,1,0.00018692,1,0.000112057,30,,5.31326,1e-39,30.0024
0,5.31326,30.0003,0,0.000183821,1,0.000138998,30,,5.31326,1e-39,30
1,10.5363,30.0231,1,0.000281096,1,0.000152826,30.0227,,5.31326,5.22303,30
0,5.31326,30.0003,1,0.000257969,0,6.79493e-05,30,,5.31326,1e-39,30
1,29.4118,30.0274,1,0.000218868,1,0.000103951,30.0271,,5.31326,24.0986,30
