找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
1,37.3298,0.0443726,1,0.000411034,1,8.79765e-05,0.0438736,,3.73513,33.5946,0.0707678
0,3.73513,240,0,0.000222206,0,5.6982e-05,240,,3.73513,1e-39,240
0,3.99384,240,1,0.000211,0,5.88894e-05,240,,3.99384,1e-39,0.0259813
0,3.80957,240,1,0.000218153,0,3.69549e-05,240,,3.80957,1e-39,0.0207187
0,3.80957,240,1,0.000188112,0,3.69549e-05,240,,3.80957,1e-39,240
0,3.80957,240,1,0.000223875,0,4.91142e-05,240,,3.80957,1e-39,240
0,5.15159,240,1,0.000316143,0,8.29697e-05,240,,5.15159,1e-39,2.1849
0,1.97867,240,1,0.000252962,0,7.00951e-05,240,,1.97867,1e-39,0.0233735
0,6.65401,240.001,1,0.000430107,0,0.000129938,240,,6.65401,1e-39,0.0213059
0,6.65401,240,1,0.000252008,0,6.10352e-05,240,,6.65401,1e-39,240
1,37.8452,1.23949,1,0.000231981,1,7.89165e-05,1.23918,,7.81601,30.0292,2.40217
1,78.4732,0.161949,1,0.000225782,1,9.70364e-05,0.161627,,4.0789,74.3943,0.0244807
1,51.1441,0.0657027,1,0.000207901,1,9.70364e-05,0.0653978,,4.4843,46.6598,0.0206123
1,60.8658,0.0545699,1,0.000254869,1,0.000117064,0.054198,,3.28353,57.5823,0.0151861
0,2.81102,240,1,0.000178814,0,4.50611e-05,240,,2.81102,1e-39,0.0235616
1,52.3328,1.19587,1,0.000353098,1,0.000137806,1.19538,,3.26029,49.0725,0.0239833
0,3.52283,240,1,0.000398874,0,7.89165e-05,240,,3.52283,1e-39,0.0204547
0,1.83759,240.001,1,0.000420094,0,0.000144005,240,,1.83759,1e-39,0.0146961
1,60.9729,1.05153,1,0.000429153,1,0.000134945,1.05096,,4.11687,56.856,0.0234124
1,43.5435,0.07736,1,0.000488997,1,0.000236988,0.0766341,,3.08451,40.459,0.344487
1,67.5463,0.160834,1,0.00049901,1,0.000161171,0.160174,,3.08451,64.4618,240
1,78.6641,0.0860653,1,0.000459909,1,0.000144005,0.0854614,,2.32171,76.3424,2.04058
0,3.70368,240,1,0.00039196,0,9.799e-05,240,,3.70368,1e-39,0.0226867
1,51.1635,0.985658,1,0.000406981,1,0.000120878,0.98513,,6.34333,44.8202,0.0202304
0,5.65653,240.001,1,0.000571012,0,0.00013113,240,,5.65653,1e-39,0.317956
0,4.56206,240,1,0.000306845,0,7.41482e-05,240,,4.56206,1e-39,0.01545
0,4.56206,240,0,0.000151873,0,6.81877e-05,240,,4.56206,1e-39,240
1,28.2546,0.409835,1,0.000256777,1,0.000148058,0.40943,,2.52974,25.7249,1.35236
0,5.70545,240,0,0.000201941,0,5.50747e-05,240,,5.70545,1e-39,0.011297
0,5.70545,240,1,0.000277996,0,6.8903e-05,240,,5.70545,1e-39,240
0,6.6578,240.001,1,0.000747919,0,0.000124931,240,,6.6578,1e-39,1.09584
0,6.6578,240,0,0.000178814,1,0.000126123,240,,6.6578,1e-39,240
0,5.56798,240,1,0.00020504,0,5.10216e-05,240,,5.56798,1e-39,0.595502
1,84.3554,0.930584,1,0.00022912,1,9.39369e-05,0.930261,,3.24644,81.109,0.0123599
0,4.35159,240,1,0.000216961,0,6.79493e-05,240,,4.35159,1e-39,0.39463
1,45.9585,1.35729,1,0.000224113,1,6.8903e-05,1.35699,,6.34097,39.6175,0.0186949
0,2.44115,240,1,0.000211,0,7.98702e-05,240,,2.44115,1e-39,0.0156418
0,3.19285,240,1,0.000225782,0,7.51019e-05,240,,3.19285,1e-39,0.0201938
0,3.43096,240,1,0.000236988,0,6.48499e-05,240,,3.43096,1e-39,0.32752
0,3.16854,240,1,0.000192165,0,4.69685e-05,240,,3.16854,1e-39,0.423226
0,3.90508,240,1,0.000216961,0,7.00951e-05,240,,3.90508,1e-39,0.378718
0,2.25321,240,1,0.000209808,0,6.41346e-05,240,,2.25321,1e-39,0.457107
0,3.02582,240,1,0.000201941,0,5.6982e-05,240,,3.02582,1e-39,0.341066
0,6.06818,240,1,0.000247002,0,6.60419e-05,240,,6.06818,1e-39,0.0358804
0,6.06818,240,1,0.000253916,1,0.00010705,240,,6.06818,1e-39,240
0,6.06818,240,1,0.000281096,0,6.38962e-05,240,,6.06818,1e-39,240
1,18.107,1.31246,1,0.00029397,1,0.000124931,1.31204,,2.14405,15.963,2.18685
1,51.8262,0.155224,1,0.000216007,1,0.000113964,0.154894,,4.3915,47.4347,0.0430517
0,2.08942,240,1,0.000203133,0,4.79221e-05,240,,2.08942,1e-39,0.0179458
1,50.1678,1.11883,1,0.000216007,1,8.60691e-05,1.11853,,2.392,47.7758,0.0214808
