找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
1,59.1308,0.0455967,1,0.000549078,1,0.000118017,0.0449296,,4.89097,54.2398,0.02636
1,35.1369,0.0390962,1,0.000203133,1,9.98974e-05,0.0387932,,1.68785,33.449,0.0209724
1,28.1929,0.0818461,1,0.00028491,1,0.000111103,0.0814501,,1.08953,27.1034,0.0247309
1,16.2303,0.0364204,1,0.0003829,1,0.000162125,0.0358754,,4.73732,11.493,0.0230163
1,60.5599,0.0440215,1,0.000244856,1,0.000100136,0.0436766,,3.90661,56.6533,0.0203776
0,7.27406,30.0003,1,0.000247002,0,0.000102997,30,,7.27406,1e-39,0.0265361
0,4.44531,30.0003,1,0.00028491,0,6.00815e-05,30,,4.44531,1e-39,0.0207928
1,71.693,0.0412231,1,0.000259876,1,0.000115156,0.0408481,,2.8696,68.8234,0.0244752
1,30.9367,0.0285497,1,0.000405073,1,0.0001719,0.0279727,,4.03528,26.9014,0.0236887
0,48.136,30.0004,1,0.000333071,0,7.79629e-05,30,,48.136,1e-39,0.0762713
1,65.0379,0.0414731,1,0.000250101,1,9.89437e-05,0.0411241,,3.12565,61.9122,0.0311178
1,36.8386,0.0437761,1,0.000215054,1,8.89301e-05,0.0434721,,3.07601,33.7626,0.0185107
0,0.811034,30.0003,1,0.000269175,0,6.38962e-05,30,,0.811034,1e-39,0.0160905
1,48.7653,0.0409537,1,0.000242949,1,0.000126123,0.0405846,,1.90508,46.8602,0.0233999
0,5.82633,30.0003,1,0.000198841,0,6.29425e-05,30,,5.82633,1e-39,0.0174854
1,44.0069,0.0733245,1,0.000200033,1,0.000126839,0.0729976,,1.66274,42.3442,0.0235936
0,5.29937,30.0003,1,0.000232935,0,7.10487e-05,30,,5.29937,1e-39,0.0245594
0,5.29937,30.0003,0,0.000154972,1,0.000114918,30,,5.29937,1e-39,30
0,3.09405,30.0003,1,0.000259876,0,4.91142e-05,30,,3.09405,1e-39,0.0265067
1,22.2491,0.0407643,1,0.000258923,1,9.70364e-05,0.0404084,,4.2177,18.0314,0.0200703
1,50.8357,0.0414982,1,0.000195026,1,6.10352e-05,0.0412421,,5.38483,45.4509,0.0298473
1,66.8614,0.125885,1,0.000222921,1,0.000106096,0.125556,,1.33398,65.5274,0.0183005
1,51.8989,0.0378226,1,0.00032115,1,8.98838e-05,0.0374116,,1.20606,50.6929,0.0277233
1,59.6146,0.0502873,1,0.000224113,1,6.29425e-05,0.0500002,,1.20606,58.4085,30
0,2.96079,30.0005,1,0.000360966,1,0.000124931,30,,2.96079,1e-39,0.0239993
1,48.2643,0.036128,1,0.000409126,1,0.000135899,0.035583,,2.45047,45.8139,0.0320902
0,2.66882,30.0003,1,0.000236034,0,4.50611e-05,30,,2.66882,1e-39,0.0296208
1,31.1993,0.07229,1,0.000248909,1,0.000111103,0.07193,,2.66882,28.5304,30
0,1.91585,30.0003,1,0.000213861,0,6.19888e-05,30,,1.91585,1e-39,0.0190294
1,38.476,0.0726107,1,0.000240088,1,0.00010705,0.0722636,,4.32608,34.1499,0.0282985
1,28.4022,0.0513954,1,0.000334978,1,9.799e-05,0.0509624,,5.61601,22.7862,0.0221489
0,5.61601,30.0003,1,0.000205994,0,6.48499e-05,30,,5.61601,1e-39,30
0,6.06276,30.0004,1,0.000280142,0,8.98838e-05,30,,6.06276,1e-39,0.0215446
0,6.1658,30.0004,1,0.000306129,0,9.48906e-05,30,,6.1658,1e-39,0.0277379
1,92.3537,0.0422895,1,0.000246048,1,9.799e-05,0.0419455,,2.48561,89.8681,0.023572
1,73.0973,0.0625209,1,0.00027895,1,9.60827e-05,0.0621459,,4.43942,68.6579,0.0248121
0,4.99354,30.0003,1,0.000277042,0,6.38962e-05,30,,4.99354,1e-39,0.0261094
0,4.06458,30.0003,1,0.000216961,0,7.98702e-05,30,,4.06458,1e-39,0.0281234
1,83.6582,0.0391328,1,0.000258923,1,9.89437e-05,0.038775,,63.5714,20.0868,0.0968788
0,63.5714,30.0005,1,0.000396013,0,7.70092e-05,30,,63.5714,1e-39,30
0,3.7592,30.0003,1,0.000206947,0,5.60284e-05,30,,3.7592,1e-39,0.0236844
1,61.2978,0.0582906,1,0.00028801,1,0.000111103,0.0578915,,4.54908,56.7487,0.0238829
0,2.45078,30.0003,1,0.000258923,0,6.29425e-05,30,,2.45078,1e-39,0.0244372
0,5.73942,30.0003,1,0.000246048,1,9.41753e-05,30,,5.73942,1e-39,0.0205044
1,32.6537,0.058172,1,0.000307798,1,0.000123024,0.0577412,,2.90141,29.7523,0.015012
0,4.10241,30.0003,1,0.000201941,0,5.50747e-05,30,,4.10241,1e-39,0.0195498
1,63.3809,0.052599,1,0.000222921,1,0.000124931,0.0522511,,4.10241,59.2785,30
1,31.765,0.0633704,1,0.000239134,1,8.2016e-05,0.0630492,,0.979458,30.7855,0.0235173
0,4.86184,30.0003,1,0.000271082,0,6.8903e-05,30,,4.86184,1e-39,0.0230518
1,36.6963,0.0679114,1,0.000252008,1,9.91821e-05,0.0675603,,2.60301,34.0933,0.0234795
