找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
0,5.875,30.0006,1,0.000560999,0,8.51154e-05,30,,5.875,1e-39,30.0103
0,5.875,30.0004,0,0.000298023,0,6.79493e-05,30,,5.875,1e-39,30
1,20.6051,30.0354,1,0.000638008,1,0.000169039,30.0346,,4.58942,16.0157,30.0094
1,26.9477,30.0402,1,0.000261068,1,7.89165e-05,30.0399,,6.55443,20.3933,30.0062
0,6.55443,30.0004,1,0.000286818,0,6.69956e-05,30,,6.55443,1e-39,30
0,2.72134,30.0002,1,0.000193119,0,4.69685e-05,30,,2.72134,1e-39,30.0011
0,4.0587,30.0004,1,0.000255108,1,0.000130892,30,,4.0587,1e-39,30.0027
1,53.629,30.0414,1,0.000298023,1,9.48906e-05,30.041,,2.53415,51.0949,30.0037
0,2.59619,30.0003,1,0.00020504,0,5.50747e-05,30,,2.59619,1e-39,30.0014
0,4.54924,30.0002,1,0.000204802,0,4.1008e-05,30,,4.54924,1e-39,30.0034
1,68.7356,30.0352,1,0.000255108,1,8.10623e-05,30.0349,,2.53393,66.2016,30.0032
1,12.0742,30.0439,1,0.00027895,1,0.000102043,30.0435,,5.19481,6.87941,30.0032
1,53.9319,30.0353,1,0.000229836,1,7.31945e-05,30.035,,4.18436,49.7475,30.0042
1,50.486,30.0299,1,0.000231028,1,7.10487e-05,30.0296,,1.26235,49.2236,30.0009
0,6.7799,30.001,1,0.00018692,0,0.000808954,30,,6.7799,1e-39,30.0382
1,29.0995,30.0332,1,0.000215054,1,8.89301e-05,30.0329,,4.10684,24.9927,30.002
0,4.10684,30.0003,0,0.000201941,1,0.000114918,30,,4.10684,1e-39,30
1,8.80251,30.0334,1,0.000277996,1,0.000101089,30.033,,4.07279,4.72972,30.0057
0,1.00809,30.0004,1,0.000321865,0,0.000101089,30,,1.00809,1e-39,30.0021
1,46.4298,30.0473,1,0.000310183,1,0.000115871,30.0469,,5.67221,40.7576,30.0085
1,20.8202,30.0285,1,0.000339031,1,0.000128031,30.028,,3.91275,16.9075,30.0025
1,13.2751,30.0229,1,0.000279188,1,0.000138998,30.0225,,2.02731,11.2478,30.0024
0,3.55834,30.0005,1,0.000455856,0,9.10759e-05,30,,3.55834,1e-39,30.0031
0,4.96624,30.0004,1,0.000312805,0,7.9155e-05,30,,4.96624,1e-39,30.004
1,18.7743,30.0311,1,0.000329018,1,0.000102043,30.0306,,2.47748,16.2968,30.0055
0,1.28643,30.0003,1,0.000202894,0,6.10352e-05,30,,1.28643,1e-39,30.0009
0,1.81643,30.0003,1,0.000259876,0,7.51019e-05,30,,1.81643,1e-39,30.0021
0,5.26609,30.0003,1,0.000241995,0,7.60555e-05,30,,5.26609,1e-39,30.0029
1,30.7486,30.0254,1,0.000197887,1,0.000108957,30.0251,,2.93853,27.8101,30.0071
0,2.93853,30.0002,1,0.000193119,0,4.88758e-05,30,,2.93853,1e-39,30
1,49.012,30.0311,1,0.000246048,1,9.799e-05,30.0307,,2.92392,46.088,30.0015
0,3.33891,30.0003,1,0.000210047,1,7.20024e-05,30,,3.33891,1e-39,30.0034
1,10.5301,30.0193,1,0.000312805,1,0.000100136,30.0189,,3.33891,7.19122,30
0,5.82163,30.0003,1,0.00019908,0,6.29425e-05,30,,5.82163,1e-39,30.0056
1,63.058,30.0543,1,0.00029397,1,0.000110865,30.0539,,5.35465,57.7034,30.0098
1,59.1832,30.0476,1,0.000282049,1,0.000102043,30.0473,,4.26355,54.9196,30.0057
0,2.17339,30.0002,1,0.000180006,0,4.69685e-05,30,,2.17339,1e-39,30.0027
0,3.32032,30.0004,1,0.000328064,0,7.20024e-05,30,,3.32032,1e-39,30.0079
1,78.6287,30.0382,1,0.000380993,1,0.000140905,30.0377,,2.13888,76.4898,30.001
1,27.9247,30.0221,1,0.00031805,1,0.000103951,30.0217,,3.54037,24.3844,30.0013
1,10.2311,30.0148,1,0.00023818,1,7.98702e-05,30.0145,,5.11053,5.12055,30.0043
0,1.44672,30.0004,1,0.000285149,0,7.39098e-05,30,,1.44672,1e-39,30.0015
1,16.208,30.0745,1,0.000213861,1,9.10759e-05,30.0742,,4.24932,11.9586,30.004
1,60.5745,30.0346,1,0.000213861,1,8.89301e-05,30.0343,,0.521102,60.0534,30.0018
0,0.521102,30.0003,0,0.000216007,1,0.00012207,30,,0.521102,1e-39,30
0,7.54586,30.0004,1,0.00028491,0,7.00951e-05,30,,7.54586,1e-39,30.0113
0,3.57526,30.0003,1,0.000265121,0,6.38962e-05,30,,3.57526,1e-39,30.0037
0,4.09602,30.0002,1,0.000184059,0,4.29153e-05,30,,4.09602,1e-39,30.0031
0,1.58438,30.0011,1,0.001019,0,7.89165e-05,30,,1.58438,1e-39,30.0012
1,45.5067,30.0204,1,0.000251055,1,0.000120878,30.02,,1.45577,44.0509,30.0032
