起吊位形x,起吊位形y,起吊位形alpha,起吊位形beta,起吊位形gama,起吊位形h,起吊位形w,就位位形x,就位位形y,就位位形alpha,就位位形beta,就位位形gama,就位位形h,就位位形w,找到路径,路径长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间
112.793,-121.356,1.93002,-0.190102,1.32767,43.5434,-2.12012,-44.2776,94.9079,0.653963,0.36037,1.41398,49.6436,-1.01433,1,24.8157,2.28403,1,0,1,0,2.28403
122.231,-96.2103,1.02183,2.74287,1.35593,43.9483,2.51848,-53.8333,105.044,0.397244,-0.399996,1.34171,48.75,-0.79724,0,1e-39,240,1,0,1,0,240
126.623,-112.368,-2.96559,-0.593229,1.29807,43.0731,2.37236,-28.8039,89.6063,-1.79571,-2.37817,1.30277,48.1509,-0.58246,0,1e-39,240,1,0,1,0,240
95.7647,-96.355,2.54728,-3.09304,1.32652,43.526,0.642868,-54.8023,110.841,2.53979,-2.87434,1.30543,48.1945,0.869053,1,54.5478,2.10018,1,0,1,0,2.10018
121.956,-91.4576,2.77187,1.21728,1.30028,43.1098,2.29404,-34.3234,85.343,-3.05968,-1.46781,1.26394,47.4727,1.59187,0,1e-39,240,1,0,1,0,240
133.328,-116.187,1.74927,0.945142,1.15038,40.0359,-2.69442,-27.5744,105.033,-1.81625,-1.3222,1.44043,49.899,0.494048,0,1e-39,240,1,0,1,0,240
127.403,-93.8634,-0.399473,-2.17286,1.25137,42.236,-1.77338,-20.9316,99.949,2.50073,0.353147,1.30522,48.191,-2.85388,0,1e-39,240,1,0,1,0,240
89.5411,-90.4095,0.339691,-0.959195,1.16505,40.3881,-1.29889,-23.7533,106.78,3.01591,0.249947,1.36887,49.1193,3.01733,1,33.7852,2.14844,1,0,1,0,2.14844
117.911,-98.4301,2.18756,1.64709,1.44301,44.9218,2.44853,-28.0507,102.339,0.301253,2.57897,1.44272,49.9193,-2.88022,0,1e-39,240,1,0,1,0,240
126.108,-87.8681,2.44745,1.51032,1.19658,41.1077,2.32541,-52.4406,105.098,0.911845,-0.918624,1.36734,49.0995,-1.83047,0,1e-39,240,1,0,1,0,240
91.3928,-100.22,-1.70128,1.44983,1.27878,42.7413,0.251451,-53.8398,111.057,1.06821,-1.43342,1.32089,48.4398,-2.50163,1,56.0678,2.18071,1,0,1,0,2.18071
97.5617,-83.238,-0.66684,-0.384709,1.16629,40.4172,0.282131,-22.9982,125.926,0.392695,-2.58547,1.15283,45.0954,-2.97816,1,53.451,2.25802,1,0,1,0,2.25802
126.634,-103.946,-0.140247,-2.93807,1.32629,43.5226,-2.79782,-23.7389,94.713,-2.16744,-1.59906,1.30924,48.2562,0.568379,0,1e-39,240,1,0,1,0,240
93.474,-109.483,2.01475,-1.74985,1.31782,43.3921,2.51859,-38.2108,91.5401,-2.12071,-2.60734,1.38527,49.3228,-0.486633,1,26.6132,2.31967,1,0,1,0,2.31967
103.427,-97.2146,2.75575,2.65784,1.4447,44.9366,0.869603,-34.3683,88.6417,-0.981868,2.77113,1.32463,48.4973,-1.78926,1,18.7601,2.16394,1,0,1,0,2.16394
82.3308,-107.253,2.08243,-2.00119,1.11257,39.0787,2.19956,-26.9858,106.705,-2.67059,-0.317423,1.4274,49.7781,2.35317,1,44.6435,2.20873,1,0,1,0,2.20873
129.276,-117.183,3.04342,-0.465455,1.21038,41.4065,2.77431,-32.9032,85.7241,-1.14548,2.97477,1.26507,47.4935,-1.82929,0,1e-39,240,1,0,1,0,240
125.96,-107.827,1.12081,1.8455,1.33479,43.6494,-2.96631,-33.7291,91.2946,-1.22171,3.09459,1.36891,49.1197,-1.87288,0,1e-39,240,1,0,1,0,240
105.1,-79.3001,-0.0398777,-1.34252,1.14459,39.8941,-1.30264,-14.5718,105.224,0.403844,2.7473,1.19825,46.1445,3.13204,1,70.7841,2.15676,1,0,1,0,2.15676
96.3449,-110.293,2.92808,-2.5583,1.36359,44.0506,0.796806,-16.3871,106.691,2.8338,0.385878,1.23197,46.8544,3.06351,1,30.5709,2.16866,1,0,1,0,2.16866
105.249,-118.4,0.564592,0.665455,1.37144,44.1521,-1.23005,-39.7486,78.1697,-0.951669,2.45738,1.13014,44.5324,-1.50572,0,1e-39,240,1,0,1,0,240
98.8437,-108.295,1.2647,-0.977556,1.41857,44.6907,-2.24226,-56.7227,103.889,1.61464,-1.55539,1.28734,47.891,3.11316,1,35.4026,2.18818,1,0,1,0,2.18818
98.2544,-124.732,-2.42884,-2.82047,1.20727,41.3401,-0.391634,-50.6246,110.514,-1.79392,1.38209,1.37951,49.253,0.411822,1,44.8784,2.13007,1,0,1,0,2.13007
101.383,-99.2755,-1.93082,1.34445,1.44189,44.9119,0.586371,-48.2149,110.642,1.70223,-2.20688,1.4179,49.6839,2.37408,1,49.7226,2.09063,1,0,1,0,2.09063
133.086,-116.014,3.12777,-0.431333,1.15618,40.1764,2.72408,-29.5099,90.681,2.27567,-0.169668,1.32666,48.5282,-2.44533,0,1e-39,240,1,0,1,0,240
