找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
0,7.83726,30.0005,1,0.000432014,1,8.60691e-05,30,,7.83726,1e-39,30.003
0,7.16949,30.0004,1,0.00032711,0,0.000116825,30,,7.16949,1e-39,30.0016
0,8.23832,30.0004,1,0.000310183,0,8.08239e-05,30,,8.23832,1e-39,30.0023
0,6.47714,30.0003,1,0.000197172,0,6.19888e-05,30,,6.47714,1e-39,30.0046
0,6.3455,30.0004,1,0.000322104,0,8.29697e-05,30,,6.3455,1e-39,30.0013
0,9.23635,30.0004,1,0.000329018,0,7.51019e-05,30,,9.23635,1e-39,30.005
0,2.49062,30.0003,1,0.000264883,0,5.6982e-05,30,,2.49062,1e-39,30.0032
0,3.46739,30.0003,1,0.000279903,0,6.41346e-05,30,,3.46739,1e-39,30.0029
0,5.50567,30.0004,1,0.000261068,1,0.00011301,30,,5.50567,1e-39,30.0013
1,63.5487,30.057,1,0.000250816,1,9.799e-05,30.0567,,6.29072,57.2579,30.0117
1,69.2226,30.0548,1,0.000267029,1,0.000108004,30.0545,,5.15458,64.068,30.0031
0,1.92376,30.0003,1,0.000238895,0,5.79357e-05,30,,1.92376,1e-39,30.0036
0,5.49247,30.0003,1,0.000283003,0,5.79357e-05,30,,5.49247,1e-39,30.0044
0,5.05858,30.0002,1,0.000192881,0,4.69685e-05,30,,5.05858,1e-39,30.0035
0,5.15551,30.0003,1,0.000211,0,5.79357e-05,30,,5.15551,1e-39,30.0014
0,5.38978,30.0004,1,0.000267029,0,8.4877e-05,30,,5.38978,1e-39,30.0033
0,4.79644,30.0004,1,0.000296831,1,0.00010705,30,,4.79644,1e-39,30.003
1,55.8975,30.0475,1,0.000288963,1,0.000144958,30.047,,8.55348,47.344,30.0028
1,79.4929,30.0549,1,0.000262976,1,0.000140905,30.0545,,6.00612,73.4868,30.003
1,98.25,30.0638,1,0.000240803,1,0.000100136,30.0635,,4.34007,93.91,30.0033
1,69.4716,30.0337,1,0.000291824,1,0.000112057,30.0333,,6.5456,62.926,30.0024
0,4.80098,30.0004,1,0.000305176,0,5.88894e-05,30,,4.80098,1e-39,30.0019
1,69.5534,30.06,1,0.000231028,1,9.39369e-05,30.0597,,7.43278,62.1206,30.0041
0,7.12991,30.0003,1,0.000241041,1,9.5129e-05,30,,7.12991,1e-39,30.003
0,5.74722,30.0003,1,0.000204086,0,6.60419e-05,30,,5.74722,1e-39,30.0033
0,3.62673,30.0003,1,0.000271797,0,6.19888e-05,30,,3.62673,1e-39,30.0052
1,38.378,30.0618,1,0.000201941,1,8.79765e-05,30.0615,,6.96957,31.4084,30.0032
0,5.1231,30.0003,1,0.000201941,0,5.10216e-05,30,,5.1231,1e-39,30.0026
1,73.0897,30.0623,1,0.000279903,1,0.000105143,30.0619,,4.74567,68.344,30.0023
1,31.0332,30.0458,1,0.000324011,1,0.000109911,30.0454,,8.53409,22.4991,30.0054
0,5.91255,30.0003,1,0.000277996,0,6.41346e-05,30,,5.91255,1e-39,30.0019
0,6.18081,30.0003,1,0.00019598,0,5.91278e-05,30,,6.18081,1e-39,30.004
1,34.0612,30.0269,1,0.000243902,1,0.000128031,30.0265,,7.59929,26.4619,30.0026
0,6.28064,30.0003,1,0.000254869,0,8.10623e-05,30,,6.28064,1e-39,30.0021
0,5.52822,30.0005,1,0.000371933,0,8.10623e-05,30,,5.52822,1e-39,30.0024
0,2.70551,30.0002,1,0.000171185,0,4.3869e-05,30,,2.70551,1e-39,30.0022
0,3.64291,30.0004,1,0.00029397,0,7.60555e-05,30,,3.64291,1e-39,30.0014
1,41.2977,30.0495,1,0.000241041,1,0.000105858,30.0491,,4.72827,36.5694,30.0013
0,5.67595,30.0004,1,0.000231981,1,0.000123024,30,,5.67595,1e-39,30.0029
0,4.72206,30.0002,1,0.000206947,0,4.00543e-05,30,,4.72206,1e-39,30.0016
1,103.291,30.0512,1,0.000290155,1,7.58171e-05,30.0508,,5.85988,97.431,30.0024
0,5.54828,30.0105,1,0.0102921,0,0.000175953,30,,5.54828,1e-39,30.0022
0,7.52163,30.0003,1,0.00023818,1,0.000101805,30,,7.52163,1e-39,30.0021
0,6.47643,30.0003,1,0.000247955,0,5.91278e-05,30,,6.47643,1e-39,30.0021
0,6.77019,30.0003,1,0.000226021,0,6.31809e-05,30,,6.77019,1e-39,30.0022
0,5.07491,30.0003,1,0.000212908,0,4.19617e-05,30,,5.07491,1e-39,30.0022
1,74.8734,30.0401,1,0.000219107,1,9.89437e-05,30.0398,,6.09124,68.7821,30.0033
0,1.0245,30.0031,1,0.00296402,0,0.000113964,30,,1.0245,1e-39,30.0028
0,5.75493,30.0002,1,0.000185013,0,5.4121e-05,30,,5.75493,1e-39,30.0028
0,6.52691,30.0003,1,0.000260115,0,4.98295e-05,30,,6.52691,1e-39,30.0028
