找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
0,6.17165,30.0006,1,0.000513077,0,8.89301e-05,30,,6.17165,1e-39,0.0172959
0,3.78938,30.0003,1,0.000210047,0,5.4121e-05,30,,3.78938,1e-39,0.0264099
1,44.384,1.96412,1,0.000287056,1,0.000118017,1.96372,,3.5065,40.8774,0.0743983
1,111.238,0.158481,1,0.00114393,1,0.000129938,0.157207,,4.36305,106.875,0.0662165
0,1.81272,30.0004,1,0.000262976,0,9.48906e-05,30,,1.81272,1e-39,0.0140009
0,4.02029,30.0003,1,0.000236034,0,5.60284e-05,30,,4.02029,1e-39,0.00912728
1,141.15,0.328596,1,0.000190973,1,9.41753e-05,0.328311,,5.16329,135.987,0.0211757
0,6.38576,30.0004,1,0.000305891,1,0.000102997,30,,6.38576,1e-39,0.0838471
0,8.58655,30.0003,1,0.000277042,0,5.98431e-05,30,,8.58655,1e-39,0.0372761
0,4.51405,30.0005,1,0.000443935,0,6.48499e-05,30,,4.51405,1e-39,0.0244079
0,3.23917,30.0004,1,0.000283957,0,7.20024e-05,30,,3.23917,1e-39,0.0809065
0,7.91482,30.0003,1,0.000268936,0,7.41482e-05,30,,7.91482,1e-39,0.0939306
0,3.65368,30.0003,1,0.000250101,0,4.19617e-05,30,,3.65368,1e-39,0.0205774
0,6.27723,30.0003,1,0.000258923,0,5.4121e-05,30,,6.27723,1e-39,0.113989
1,87.4298,0.276869,1,0.000329018,1,0.000135899,0.276404,,4.21182,83.218,0.0134503
0,3.22325,30.0004,1,0.000323057,0,7.39098e-05,30,,3.22325,1e-39,0.110883
1,112.844,0.372618,1,0.000293016,1,9.60827e-05,0.372229,,7.60534,105.239,0.0177419
0,9.09507,30.0004,1,0.000252962,1,0.000102043,30,,9.09507,1e-39,0.0809373
1,57.4141,0.138431,1,0.00028801,1,0.000105143,0.138038,,6.44492,50.9692,0.0173301
1,60.1353,0.194263,1,0.000352144,1,0.000115871,0.193795,,3.87902,56.2563,0.0185182
0,9.13387,30.0004,1,0.000272989,0,0.00011611,30,,9.13387,1e-39,0.02498
0,8.02568,30.0003,1,0.000266075,0,8.08239e-05,30,,8.02568,1e-39,0.0309392
0,6.58517,30.0004,1,0.000289917,1,0.00010705,30,,6.58517,1e-39,0.0880396
1,62.411,0.131837,1,0.000281096,1,7.79629e-05,0.131478,,5.64194,56.7691,0.17915
0,3.79543,30.0003,1,0.000276089,0,5.60284e-05,30,,3.79543,1e-39,0.015559
0,9.81619,30.0004,1,0.000272036,0,9.20296e-05,30,,9.81619,1e-39,0.0144696
0,7.84184,30.0003,1,0.0002141,1,9.799e-05,30,,7.84184,1e-39,0.188076
0,4.97037,30.0002,1,0.0001719,0,5.50747e-05,30,,4.97037,1e-39,0.0165126
1,47.2839,0.338617,1,0.000196934,1,0.00252008,0.3359,,5.17844,42.1055,0.0181342
1,50.5746,0.100306,1,0.000185966,1,9.89437e-05,0.100021,,3.77099,46.8036,0.0205431
1,85.2638,0.136971,1,0.000248909,1,0.000102997,0.136619,,7.01698,78.2468,0.0144739
0,5.64049,30.0003,1,0.000243902,0,6.41346e-05,30,,5.64049,1e-39,0.0254856
0,6.5481,30.0003,1,0.000222206,1,0.000126839,30,,6.5481,1e-39,0.0181357
0,7.44463,30.0004,1,0.000273943,1,7.79629e-05,30,,7.44463,1e-39,0.18387
0,4.84306,30.0003,1,0.000275135,0,6.38962e-05,30,,4.84306,1e-39,0.015337
0,4.11856,30.0003,1,0.000226021,1,0.000106096,30,,4.11856,1e-39,0.0184937
0,2.93211,30.0003,1,0.000287056,0,4.88758e-05,30,,2.93211,1e-39,0.0187159
1,138.433,0.544727,1,0.000345945,1,0.000137091,0.544244,,8.82296,129.61,0.0296439
1,150.352,0.829667,1,0.000241995,1,8.29697e-05,0.829342,,5.44641,144.906,0.0912338
0,8.04769,30.0003,1,0.000262022,0,7.29561e-05,30,,8.04769,1e-39,0.0464781
1,79.6566,0.606702,1,0.000252008,1,9.70364e-05,0.606353,,8.94626,70.7103,0.0297188
0,2.42796,30.0004,1,0.000286102,0,6.60419e-05,30,,2.42796,1e-39,0.0607088
0,8.12012,30.0003,1,0.000247002,0,6.10352e-05,30,,8.12012,1e-39,0.0170019
1,86.654,0.353704,1,0.000272036,1,0.000104904,0.353327,,3.19775,83.4563,0.072123
1,79.4276,0.10382,1,0.000272036,1,9.70364e-05,0.103451,,5.57397,73.8536,0.0590659
0,7.69486,30.0003,1,0.000224113,1,6.79493e-05,30,,7.69486,1e-39,0.0197849
0,2.96566,30.0003,1,0.000232935,0,8.41618e-05,30,,2.96566,1e-39,0.0166623
1,56.2894,0.382854,1,0.000240088,1,9.39369e-05,0.38252,,5.43227,50.8571,0.022938
0,5.17467,30.0003,1,0.000228167,1,7.98702e-05,30,,5.17467,1e-39,0.0869488
1,129.507,0.0732416,1,0.000250101,1,6.8903e-05,0.0729226,,8.79016,120.717,0.0255308
