找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
0,1.96128,30.0005,1,0.00043416,0,9.39369e-05,30,,1.96128,1e-39,0.0290928
1,115.786,0.187947,1,0.000237942,1,0.000105143,0.187604,,6.69937,109.087,0.0152362
0,7.67705,30.0004,1,0.000291109,0,6.48499e-05,30,,7.67705,1e-39,0.0216671
0,4.47516,30.0004,1,0.000331879,0,0.000105143,30,,4.47516,1e-39,0.0227033
0,8.82735,30.0003,1,0.000238895,0,6.19888e-05,30,,8.82735,1e-39,0.0220569
0,6.85665,30.0003,1,0.000226021,0,6.29425e-05,30,,6.85665,1e-39,0.0182155
1,74.7526,0.0891176,1,0.00022912,1,9.70364e-05,0.0887914,,6.54574,68.2068,0.0215457
0,9.48232,30.0003,1,0.000219107,0,4.19617e-05,30,,9.48232,1e-39,0.0176035
0,4.83863,30.0002,1,0.000159025,0,4.29153e-05,30,,4.83863,1e-39,0.0202148
0,6.06648,30.0003,1,0.000237942,0,6.00815e-05,30,,6.06648,1e-39,0.0216996
0,2.52545,30.0003,1,0.000235081,0,5.6982e-05,30,,2.52545,1e-39,0.0153095
0,6.11759,30.0003,1,0.000252962,0,7.10487e-05,30,,6.11759,1e-39,0.0233404
1,40.8122,0.0960527,1,0.000248909,1,0.000102043,0.0957017,,7.40613,33.4061,0.0201102
0,1.03363,30.0003,1,0.000204086,0,4.79221e-05,30,,1.03363,1e-39,0.0225075
0,3.9077,30.0002,1,0.000186205,0,3.60012e-05,30,,3.9077,1e-39,0.0205857
0,7.80503,30.0003,1,0.000237942,1,8.98838e-05,30,,7.80503,1e-39,0.0168278
1,114.318,0.131086,1,0.000341892,1,0.000157118,0.130587,,7.74377,106.574,0.0236418
0,5.43935,30.0004,1,0.000295877,0,8.60691e-05,30,,5.43935,1e-39,0.0190004
1,61.6389,0.121187,1,0.000195026,1,9.60827e-05,0.120896,,4.96321,56.6757,0.0161296
0,6.27688,30.0003,1,0.000234127,0,6.38962e-05,30,,6.27688,1e-39,0.019735
0,10.2107,30.0004,1,0.000352859,0,7.41482e-05,30,,10.2107,1e-39,0.0193481
0,4.2446,30.0002,1,0.000181913,0,6.50883e-05,30,,4.2446,1e-39,0.0191108
0,4.66149,30.0003,1,0.000236988,0,5.6982e-05,30,,4.66149,1e-39,0.0161706
0,6.17205,30.0002,1,0.000207901,0,4.00543e-05,30,,6.17205,1e-39,0.0200489
0,3.54475,30.0003,1,0.000241041,0,5.38826e-05,30,,3.54475,1e-39,0.0170181
0,7.73203,30.0003,1,0.000226021,0,5.88894e-05,30,,7.73203,1e-39,0.0196313
0,4.98957,30.0003,1,0.000276089,0,5.6982e-05,30,,4.98957,1e-39,0.013957
0,6.45545,30.0003,1,0.000267029,0,5.79357e-05,30,,6.45545,1e-39,0.0180693
0,7.73602,30.0003,1,0.000246048,0,6.69956e-05,30,,7.73602,1e-39,0.0217974
0,6.49004,30.0004,1,0.000313997,0,8.29697e-05,30,,6.49004,1e-39,0.0231545
1,93.2393,0.0981844,1,0.000164032,1,7.20024e-05,0.0979484,,8.35223,84.8871,0.0186103
0,3.06213,30.0003,1,0.000208855,0,5.60284e-05,30,,3.06213,1e-39,0.0217359
0,7.20755,30.0002,1,0.000161171,0,3.88622e-05,30,,7.20755,1e-39,0.0195271
0,8.64752,30.0002,1,0.000195026,0,4.31538e-05,30,,8.64752,1e-39,0.0218879
0,5.99222,30.0003,1,0.000240088,0,6.48499e-05,30,,5.99222,1e-39,0.0219608
0,7.57072,30.0003,1,0.000250101,0,3.50475e-05,30,,7.57072,1e-39,0.0230116
1,48.497,0.158683,1,0.000255108,1,0.000102043,0.158326,,4.39211,44.1049,0.0205051
0,8.60348,30.0003,1,0.000261784,0,5.91278e-05,30,,8.60348,1e-39,0.017841
0,4.7921,30.0003,1,0.000217915,0,3.91006e-05,30,,4.7921,1e-39,0.0168796
0,8.8451,30.0003,1,0.000234842,0,6.10352e-05,30,,8.8451,1e-39,0.0203382
0,4.42903,30.0003,1,0.000241041,1,9.60827e-05,30,,4.42903,1e-39,0.0203113
0,6.06766,30.0002,1,0.000170946,0,4.3869e-05,30,,6.06766,1e-39,0.0217709
0,3.87722,30.0003,1,0.00022006,0,5.4121e-05,30,,3.87722,1e-39,0.0208538
1,20.1253,0.0977322,1,0.000246048,1,0.000101089,0.097385,,4.70028,15.425,0.020093
0,3.70315,30.0003,1,0.000222921,0,4.50611e-05,30,,3.70315,1e-39,0.0162115
0,4.94401,30.0002,1,0.000174046,0,4.29153e-05,30,,4.94401,1e-39,0.0225994
0,5.62341,30.0004,1,0.000243902,1,0.000135183,30,,5.62341,1e-39,0.0206655
1,41.598,0.096027,1,0.000282049,1,8.79765e-05,0.0956569,,6.82051,34.7774,0.0307169
1,50.596,0.160995,1,0.000234842,1,0.000118971,0.160641,,6.75164,43.8444,0.0199267
1,61.6195,0.092785,1,0.000324011,1,0.00013113,0.0923298,,7.27791,54.3416,0.022093
