找到路径,路径总长度,总规划时间,起始位形采样成功,起始位形采样时间,目标位形采样成功,目标位形采样时间,规划算法运行时间,上车规划路径长度,移动规划路径长度,上车规划时间
1,25.7062,30.0691,1,0.000486851,1,0.00010705,30.0685,,9.28816,16.4181,30.0085
0,2.97263,30.0005,1,0.000358105,0,0.000151873,30,,2.97263,1e-39,30.0033
1,158.417,30.0876,1,0.000247955,1,0.000110865,30.0872,,4.77423,153.643,30.0064
0,2.64243,30.0003,1,0.000269175,0,6.69956e-05,30,,2.64243,1e-39,30.0025
0,2.47088,30.0004,1,0.00030899,0,7.9155e-05,30,,2.47088,1e-39,30.0029
1,20.8035,30.0837,1,0.000238895,1,0.000101089,30.0834,,4.11791,16.6856,30.0071
0,6.17583,30.0003,1,0.000207901,1,9.91821e-05,30,,6.17583,1e-39,30.0069
0,9.93875,30.0004,1,0.000317097,0,6.29425e-05,30,,9.93875,1e-39,30.0082
1,33.8133,30.0631,1,0.00030303,1,9.39369e-05,30.0627,,7.3337,26.4796,30.0075
0,4.53929,30.0004,1,0.000257969,1,9.48906e-05,30,,4.53929,1e-39,30.0027
1,40.2797,30.089,1,0.000185013,1,0.000106096,30.0887,,4.6683,35.6114,30.0037
1,121.853,30.0931,1,0.000248909,1,0.000134945,30.0927,,4.77959,117.074,30.0035
0,5.57006,30.0003,1,0.000195026,0,5.6982e-05,30,,5.57006,1e-39,30.0033
0,3.6029,30.0002,1,0.000159979,0,5.81741e-05,30,,3.6029,1e-39,30.0024
1,42.8632,30.0808,1,0.00022006,1,9.39369e-05,30.0805,,3.01584,39.8474,30.0009
1,62.7352,30.1254,1,0.000231981,1,8.98838e-05,30.1251,,7.56565,55.1695,30.0083
0,10.641,30.0003,1,0.000227928,1,9.10759e-05,30,,10.641,1e-39,30.01
1,26.2459,30.0737,1,0.000207901,1,0.000104189,30.0734,,9.46813,16.7778,30.007
0,6.19005,30.0003,1,0.000243902,1,0.000105143,30,,6.19005,1e-39,30.0019
0,4.79014,30.0002,1,0.000189066,0,4.50611e-05,30,,4.79014,1e-39,30.0029
0,6.05579,30.0003,1,0.000206947,0,5.50747e-05,30,,6.05579,1e-39,30.0054
1,22.5145,30.0883,1,0.000230789,1,7.70092e-05,30.088,,7.39179,15.1227,30.0043
0,5.90202,30.0003,1,0.000250101,0,5.79357e-05,30,,5.90202,1e-39,30.0051
1,25.4601,30.0808,1,0.000252008,1,0.000109911,30.0805,,5.38989,20.0702,30.0049
0,1.42649,30.0003,1,0.000200033,1,7.39098e-05,30,,1.42649,1e-39,30.0008
0,3.76424,30.0003,1,0.000196934,0,7.60555e-05,30,,3.76424,1e-39,30.0021
0,7.36423,30.0002,1,0.000174046,0,5.19753e-05,30,,7.36423,1e-39,30.0083
0,10.0263,30.0003,1,0.000251055,0,6.00815e-05,30,,10.0263,1e-39,30.0073
0,4.98863,30.0003,1,0.000266075,0,7.20024e-05,30,,4.98863,1e-39,30.0024
0,5.97555,30.0004,1,0.000273943,1,0.000159979,30,,5.97555,1e-39,30.0063
0,8.85711,30.0003,1,0.000222206,0,5.57899e-05,30,,8.85711,1e-39,30.011
0,7.6671,30.0003,1,0.000210047,0,4.60148e-05,30,,7.6671,1e-39,30.006
0,5.18086,30.0004,1,0.000240088,1,0.000130892,30,,5.18086,1e-39,30.0026
0,5.99569,30.0004,1,0.000313997,0,8.98838e-05,30,,5.99569,1e-39,30.0038
0,10.4218,30.0003,1,0.000205994,1,7.29561e-05,30,,10.4218,1e-39,30.009
0,7.09473,30.0003,1,0.000261068,0,8.2016e-05,30,,7.09473,1e-39,30.0065
1,22.6622,30.0663,1,0.000165939,1,7.51019e-05,30.066,,4.2008,18.4614,30.0039
0,1.60861,30.0003,1,0.000212908,0,0.000118017,30,,1.60861,1e-39,30.0006
0,8.13161,30.0003,1,0.000234127,1,9.799e-05,30,,8.13161,1e-39,30.0145
1,41.7203,30.069,1,0.000230074,1,0.000132799,30.0687,,4.01121,37.7091,30.0027
1,27.3425,30.0783,1,0.000165939,1,5.79357e-05,30.078,,6.97271,20.3698,30.01
0,5.91829,30.0002,1,0.000164986,0,4.29153e-05,30,,5.91829,1e-39,30.0057
0,6.75186,30.0003,1,0.000211,0,4.79221e-05,30,,6.75186,1e-39,30.0055
0,4.49559,30.0003,1,0.000218153,0,6.79493e-05,30,,4.49559,1e-39,30.0029
0,6.88992,30.0002,1,0.000171185,0,4.69685e-05,30,,6.88992,1e-39,30.0034
0,3.33235,30.0002,1,0.00019002,0,5.50747e-05,30,,3.33235,1e-39,30.0009
0,4.33752,30.0002,1,0.000174999,0,4.00543e-05,30,,4.33752,1e-39,30.0025
0,8.0258,30.0003,1,0.000216961,0,5.6982e-05,30,,8.0258,1e-39,30.0023
0,7.49303,30.0002,1,0.0001719,1,7.10487e-05,30,,7.49303,1e-39,30.004
1,36.1995,30.0704,1,0.000243902,1,0.000103951,30.07,,8.05037,28.1491,30.0086
