安全位形采样时间,初始位形采样时间
0.000329971,5.50747e-05
0.000194073,7.58171e-05
0.000200033,7.00951e-05
0.000241995,6.29425e-05
0.000259876,8.01086e-05
0.000109911,6.29425e-05
0.000323057,0.000123978
0.000188828,6.31809e-05
0.000292063,0.000102997
0.000103951,5.88894e-05
0.000200987,5.19753e-05
8.39233e-05,4.41074e-05
0.000198126,6.29425e-05
0.000111818,4.72069e-05
0.000243902,6.19888e-05
0.000180006,6.69956e-05
0.000249147,6.98566e-05
0.00010705,6.10352e-05
0.000277996,7.51019e-05
0.000113964,5.88894e-05
0.00010705,4.69685e-05
0.000219107,5.48363e-05安全位形采样时间,初始位形采样时间
0.000386,7.08103e-05
9.60827e-05,5.29289e-05
0.000225067,6.07967e-05
0.000247955,8.29697e-05
0.000226021,4.22001e-05
0.000208855,4.72069e-05
0.000251055,6.38962e-05
9.70364e-05,4.98295e-05
0.000207901,5.10216e-05
0.000222921,5.00679e-05
0.000241995,7.79629e-05
0.000267982,6.79493e-05
0.000271082,8.29697e-05
0.000103951,6.00815e-05
0.00024581,7.20024e-05
0.000252008,7.60555e-05
0.000190973,6.10352e-05
8.39233e-05,4.31538e-05
0.00022316,5.10216e-05
0.000126839,6.50883e-05
0.00022316,5.88894e-05
0.000144005,7.48634e-05
0.000252962,6.60419e-05
0.000120878,6.29425e-05
0.000252962,7.51019e-05
0.000115156,5.48363e-05
0.0002141,4.79221e-05
0.000211954,5.4121e-05
0.000268936,7.51019e-05
0.000258923,7.79629e-05
0.000193834,6.00815e-05
0.000216007,5.4121e-05
0.000261068,7.39098e-05
0.000276089,7.08103e-05
0.000252008,6.60419e-05
0.0002141,4.69685e-05
0.000192881,5.91278e-05
0.000102997,5.38826e-05
0.000247955,7.31945e-05
0.000124931,6.29425e-05
0.00020504,6.00815e-05
0.000105858,5.6982e-05
0.000185966,4.1008e-05
0.000254154,7.08103e-05
0.000191927,5.88894e-05
9.58443e-05,4.00543e-05
0.000224829,5.91278e-05
9.89437e-05,5.00679e-05
0.000173092,4.69685e-05
0.00022006,5.38826e-05
0.00030899,9.39369e-05
0.000263214,6.07967e-05
0.000250101,6.8903e-05
0.000102043,4.3869e-05
0.000238895,5.4121e-05
0.000170946,6.29425e-05
0.000249147,6.48499e-05
0.000267029,6.79493e-05
0.000200987,7.20024e-05
0.000111818,4.1008e-05
0.000214815,4.3869e-05
0.000228882,4.60148e-05
0.00019002,5.79357e-05
0.000123978,6.31809e-05
0.000241041,5.4121e-05
0.000248909,6.69956e-05
0.000224113,7.79629e-05
0.000239134,6.8903e-05
0.000257015,7.08103e-05
0.000172138,6.8903e-05
0.000256062,6.60419e-05
9.60827e-05,5.6982e-05
0.000247002,6.19888e-05
0.000267029,6.8903e-05
0.000196934,4.50611e-05
0.000108004,6.00815e-05
0.000226974,4.60148e-05
0.000257015,9.48906e-05
0.000257015,6.60419e-05
0.000143051,5.19753e-05
0.000232935,7.41482e-05
0.000221968,7.79629e-05
0.000222921,4.3869e-05
0.000203133,4.88758e-05
0.000254869,4.91142e-05
0.000252962,7.60555e-05
0.000236034,6.19888e-05
0.00028801,8.29697e-05
0.000233173,6.07967e-05
0.000179052,6.19888e-05
0.000250816,7.41482e-05
0.000106096,6.19888e-05
0.000212908,5.50747e-05
0.00011611,6.38962e-05
0.000202179,5.79357e-05
0.000176191,7.48634e-05
0.000283957,9.01222e-05
0.000118971,5.79357e-05
0.000237942,7.00951e-05
0.000230074,6.60419e-05
0.000242949,6.38962e-05
0.000147104,8.70228e-05
0.000262976,6.29425e-05
0.000153065,7.58171e-05
0.000173092,4.3869e-05
0.000104904,6.19888e-05
0.000345945,7.51019e-05
0.000244141,8.70228e-05
0.000264168,6.58035e-05
0.000249863,8.51154e-05
0.000259161,6.58035e-05
0.000222921,0.000119925
0.000246048,7.79629e-05
0.000106812,5.4121e-05
0.00019002,6.50883e-05
0.000191212,6.98566e-05
0.000211,7.08103e-05
0.000249863,7.10487e-05
0.00022006,5.98431e-05
0.000178814,5.31673e-05
0.00019908,7.39098e-05
0.000156164,8.58307e-05
0.000183105,5.60284e-05
9.29832e-05,4.19617e-05
0.000201941,6.41346e-05
0.000104189,5.29289e-05
0.000167131,4.60148e-05
0.000201941,8.10623e-05
0.000241041,6.48499e-05
0.000234842,7.9155e-05
0.000185966,5.29289e-05
0.00019598,6.60419e-05
0.000181198,4.88758e-05
9.20296e-05,3.91006e-05
0.00017786,8.60691e-05
0.000191212,6.29425e-05
0.000169992,4.50611e-05
0.000241041,8.60691e-05
0.000272036,6.81877e-05
0.000143051,6.69956e-05
0.00019002,5.50747e-05
0.000187874,6.8903e-05
0.000207901,4.19617e-05
0.000144958,7.60555e-05
0.00019908,5.79357e-05
0.000208139,6.38962e-05
0.000174999,6.41346e-05
9.5129e-05,4.69685e-05
0.000169992,4.48227e-05
0.000118017,7.51019e-05
0.000227928,6.69956e-05
0.000104904,7.31945e-05
0.000183105,5.29289e-05
0.000266075,6.79493e-05
0.000200987,6.29425e-05
0.000192165,6.69956e-05
0.000182867,6.41346e-05
0.000200987,6.10352e-05
0.000189066,5.79357e-05
0.00017786,4.19617e-05
0.000251055,8.2016e-05
0.000130892,6.00815e-05
0.000240803,6.41346e-05
0.000259161,6.98566e-05
0.000215054,4.29153e-05
0.000238895,7.00951e-05
0.000231981,5.91278e-05
0.000130892,6.41346e-05
0.000262022,6.60419e-05
0.000249863,6.50883e-05
0.000277996,6.79493e-05
0.000313997,7.20024e-05
0.000255823,7.20024e-05
0.000159979,3.79086e-05
0.000174999,5.19753e-05
0.000209808,6.91414e-05
0.000213861,6.50883e-05
0.000140905,6.91414e-05
0.000163078,4.41074e-05
0.000242949,8.01086e-05
0.000213146,7.89165e-05
0.00020504,6.00815e-05
0.000164986,5.50747e-05
0.000121117,6.8903e-05
0.000167131,5.38826e-05
0.000123978,5.31673e-05
0.000175953,5.79357e-05
0.000209093,7.98702e-05
0.000193834,6.10352e-05
0.000190973,6.38962e-05
0.000212908,6.29425e-05
0.000132084,6.38962e-05
0.000146151,3.79086e-05
0.000175953,6.10352e-05
0.000180006,5.60284e-05
0.000211954,8.01086e-05
0.000247955,6.19888e-05
0.000151873,7.00951e-05
0.000185966,7.20024e-05
0.000135183,7.29561e-05
0.000253916,5.50747e-05
0.000106096,4.88758e-05
0.000259876,4.91142e-05
0.000244856,7.00951e-05
0.000221014,6.79493e-05
0.000141144,6.19888e-05
0.000180006,4.72069e-05
0.000200987,5.19753e-05
0.000181913,4.50611e-05
0.000196218,4.98295e-05
0.000202179,6.19888e-05
0.000198841,6.60419e-05
0.000200987,5.00679e-05
8.29697e-05,4.60148e-05
0.000244856,5.31673e-05
9.70364e-05,4.60148e-05
0.000268936,6.00815e-05
9.01222e-05,4.3869e-05
0.000224829,4.91142e-05
0.00011301,5.10216e-05
0.000189066,5.79357e-05
0.000191927,0.000101089
0.000228882,5.31673e-05
0.000175953,5.19753e-05
0.000283957,6.98566e-05
0.000180006,5.4121e-05
0.000239134,6.58035e-05
0.000120878,7.10487e-05
0.000236034,5.79357e-05
0.000244141,5.98431e-05
0.00020504,4.60148e-05
0.000125885,6.91414e-05
0.000285149,5.98431e-05
0.000240088,7.39098e-05
0.000264168,7.08103e-05
9.70364e-05,4.88758e-05
0.000221968,6.38962e-05
9.08375e-05,4.31538e-05
0.000193834,7.31945e-05
8.39233e-05,4.3869e-05
0.000234127,8.4877e-05
0.000155926,8.4877e-05
0.000211954,7.9155e-05
0.000151873,8.82149e-05
0.000210047,7.89165e-05
0.000123024,6.60419e-05
0.000336885,8.79765e-05
0.000182867,5.6982e-05
0.000257015,7.60555e-05
0.000268936,7.70092e-05
0.000227928,6.19888e-05
0.000267982,7.60555e-05
0.000234127,6.10352e-05
9.39369e-05,4.31538e-05
0.000270844,7.51019e-05
0.000100851,4.60148e-05
0.00020504,5.60284e-05
0.000110865,6.29425e-05
0.000216961,6.19888e-05
0.000269175,8.70228e-05
0.000251055,6.91414e-05
8.4877e-05,4.50611e-05
0.000277996,7.20024e-05
0.000117064,6.48499e-05
0.000211954,6.69956e-05
0.000115871,6.22272e-05
0.000446081,9.60827e-05
0.000100136,5.07832e-05
0.000213861,0.000109911
0.000127077,5.29289e-05
0.000180006,5.6982e-05
0.000118971,6.48499e-05
0.000160933,6.19888e-05
0.000138044,6.29425e-05
0.000260115,6.29425e-05
0.000221014,7.29561e-05
0.000207186,8.08239e-05
0.000126123,6.48499e-05
0.000202179,6.98566e-05
0.000123978,5.10216e-05
0.000289917,7.29561e-05
0.000234127,6.29425e-05
0.000192165,5.88894e-05
0.000185013,8.91685e-05
0.000254154,4.69685e-05
0.000251055,5.79357e-05
0.000329971,7.79629e-05
0.000123024,6.19888e-05
0.000255108,6.29425e-05
0.000338078,8.4877e-05
0.000257969,7.39098e-05
9.799e-05,4.91142e-05
0.000208139,6.69956e-05
9.29832e-05,4.60148e-05
0.000236988,7.00951e-05
0.000329971,5.6982e-05
0.000243902,4.60148e-05
0.000145197,8.98838e-05
0.000172138,5.10216e-05
0.000277996,8.70228e-05
0.000213861,5.19753e-05
0.000128031,6.29425e-05
0.000222921,5.00679e-05
0.00030303,5.60284e-05
0.00039196,9.70364e-05
0.000120878,6.60419e-05
0.000241041,8.2016e-05
0.000118971,6.10352e-05
0.00018096,4.3869e-05
0.000128984,7.00951e-05
0.000243187,6.58035e-05
0.000190973,7.51019e-05
0.000196934,5.6982e-05
0.000129938,9.20296e-05
0.00022912,6.79493e-05
0.000182867,7.51019e-05
0.000225067,7.00951e-05
0.000120163,5.10216e-05
0.000272036,8.98838e-05
0.000159979,5.38826e-05
0.000159025,4.60148e-05
0.000217915,8.89301e-05
0.000216961,5.19753e-05
0.00010705,5.19753e-05
0.000195026,5.10216e-05
0.000103951,5.79357e-05
0.000228167,6.69956e-05
0.000200987,6.91414e-05
0.00018692,6.29425e-05
0.000200033,7.29561e-05
0.000231981,6.38962e-05
0.000113964,7.70092e-05
0.000175953,5.4121e-05
0.000111818,7.70092e-05
0.000196934,6.19888e-05
0.000303984,0.000112057
0.000176907,5.22137e-05
0.000166178,5.6982e-05
0.000236034,6.19888e-05
0.00023818,8.29697e-05
0.000272989,7.60555e-05
0.000117064,5.88894e-05
0.000258923,7.10487e-05
0.000219107,7.60555e-05
0.000276804,6.69956e-05
0.000149012,6.79493e-05
0.000246048,7.29561e-05
0.000219107,5.88894e-05
0.000236034,5.60284e-05
8.79765e-05,5.00679e-05
0.000317097,7.79629e-05
0.000244856,8.10623e-05
0.000229836,5.50747e-05
0.000257015,7.10487e-05
0.000273943,5.98431e-05
0.000103951,5.19753e-05
0.000311852,8.10623e-05
0.000262976,9.89437e-05
0.000246048,4.60148e-05
0.000133991,6.50883e-05
0.000247955,6.79493e-05
0.000255823,6.29425e-05
0.000273943,7.29561e-05
0.000247955,7.60555e-05
0.000280857,4.72069e-05
0.000259876,8.01086e-05
0.00022006,4.60148e-05
0.000225067,8.29697e-05
0.000250101,4.79221e-05
0.000124931,6.41346e-05
0.00026989,7.00951e-05
0.000173092,9.39369e-05
0.000289202,7.39098e-05
0.000243187,4.98295e-05
0.000259161,8.29697e-05
0.000257015,6.8903e-05
0.000247002,7.51019e-05
0.00012517,7.29561e-05
0.000231981,5.00679e-05
0.000273943,8.91685e-05
0.000287056,6.91414e-05
0.000132084,6.69956e-05
0.000272036,7.29561e-05
0.000123024,6.69956e-05
0.000276089,8.2016e-05
0.000192165,6.19888e-05
0.000190973,6.8903e-05
9.39369e-05,4.79221e-05
0.000249863,0.000101089
0.000190973,7.39098e-05
0.000236034,7.29561e-05
0.00011611,8.01086e-05
0.0002141,8.39233e-05
0.000154972,8.89301e-05
0.000211,7.79629e-05
0.000194073,5.88894e-05
0.000207186,6.79493e-05
9.08375e-05,4.60148e-05
0.000174999,7.70092e-05
0.000236988,6.91414e-05
0.000210047,6.29425e-05
0.000277042,9.91821e-05
0.000372887,8.10623e-05
0.000121832,5.60284e-05
0.000267029,6.8903e-05
0.000134945,6.50883e-05
0.000281096,7.89165e-05
0.000209093,7.00951e-05
0.000200987,5.79357e-05
0.000207901,6.60419e-05
0.000288963,9.48906e-05
0.00024581,5.50747e-05
0.00019598,5.4121e-05
0.000128031,7.79629e-05
0.00027895,6.98566e-05
0.000185966,7.20024e-05
0.000247955,7.00951e-05
8.39233e-05,4.41074e-05
0.00019908,4.29153e-05
0.00010705,5.98431e-05
0.000197887,7.29561e-05
0.000181913,6.50883e-05
0.00031209,8.79765e-05
0.000364065,8.10623e-05
0.00022912,6.69956e-05
0.000116825,6.00815e-05
0.000271082,7.20024e-05
0.000165939,8.4877e-05
0.00023818,6.29425e-05
0.000148058,7.48634e-05
0.000252008,6.91414e-05
0.000137091,7.20024e-05
0.000231981,6.41346e-05
0.000248909,7.29561e-05
0.000197172,4.69685e-05
0.000172138,5.98431e-05
0.000288963,7.41482e-05
0.000243902,7.29561e-05
0.00022006,7.39098e-05
0.000147104,7.70092e-05
0.000183105,5.98431e-05
0.000128031,6.69956e-05
0.000242949,7.20024e-05
8.39233e-05,4.69685e-05
0.000196934,6.31809e-05
0.000180006,5.29289e-05
0.000231028,7.10487e-05
0.000179052,5.60284e-05
0.000194073,6.29425e-05
0.000216961,8.70228e-05
0.000162125,5.00679e-05
0.000256062,7.00951e-05
0.0002141,6.69956e-05
0.000140905,3.8147e-05
0.000172138,4.88758e-05
0.00029707,7.89165e-05
0.000201941,8.60691e-05
0.000200987,6.48499e-05
0.000244856,8.32081e-05
0.000337839,7.9155e-05
0.000540018,0.000119925
0.000159979,7.98702e-05
0.000311852,7.10487e-05
0.000146151,8.2016e-05
0.000302076,8.70228e-05
0.000340939,0.000123024
0.00032711,9.98974e-05
0.000362158,0.000100851
0.000285149,6.98566e-05
0.000127077,6.69956e-05
0.000265837,7.58171e-05
0.000105858,5.50747e-05
0.000252962,5.91278e-05
0.000127077,6.8903e-05
0.000252962,8.10623e-05
0.000181913,9.5129e-05
0.000347853,9.20296e-05
0.000212908,7.00951e-05
0.000233173,8.79765e-05
8.70228e-05,4.48227e-05
0.000253916,6.91414e-05
0.000137091,7.29561e-05
0.000260115,7.70092e-05
0.000175953,4.29153e-05
0.000179052,4.81606e-05
0.000174999,4.91142e-05
0.000236988,7.31945e-05
0.000299931,7.51019e-05
0.000231028,6.10352e-05
0.000248909,8.01086e-05
0.000159979,4.50611e-05
0.000126839,6.60419e-05
